com.samsung.shealth.alerted_stress,6307003,1
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
63060051,2025-11-03 18:37:05.816,63060051,2025-11-03 18:37:05.997,2025-11-03 18:37:05.997,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-03 18:37:05.816,78fc1434-efa2-455b-a4a1-d4c23caae233,
63060051,2025-11-06 16:58:48.265,63060051,2025-11-06 16:58:48.411,2025-11-06 16:58:48.411,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-06 16:58:48.265,1e6aee99-9716-48db-87da-b7b13d77cc60,
63060051,2025-11-15 16:13:32.858,63060051,2025-11-15 16:13:33.025,2025-11-15 16:13:33.025,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-15 16:13:32.858,a40580d3-09cf-4703-97d2-e95c90a848b8,
63060051,2025-11-15 19:37:17.750,63060051,2025-11-15 19:37:17.917,2025-11-15 19:37:17.917,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-15 19:37:17.750,2dae89cd-5f91-40af-809a-775f8860d209,
63060051,2025-11-16 15:16:08.051,63060051,2025-11-16 15:16:08.233,2025-11-16 15:16:08.233,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 15:16:08.051,4b64c1ec-dbbc-4831-ae40-039f7ff8b9cf,
63060051,2025-11-25 13:54:46.762,63060051,2025-11-25 13:54:47.020,2025-11-25 13:54:47.020,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-25 13:54:46.762,4dadc700-29e5-41e2-ba35-552c77a14a13,
63060051,2025-11-29 10:35:30.594,63060051,2025-11-29 10:35:30.762,2025-11-29 10:35:30.762,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-29 10:35:30.594,81c7c42c-0e98-4535-9545-c996868318b4,
63060051,2025-11-30 23:30:25.813,63060051,2025-11-30 23:30:25.981,2025-11-30 23:30:25.981,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-30 23:30:25.813,c2bf887b-ce5f-4283-9239-95c2f810993b,
63070031,2025-12-25 18:30:44.260,63070031,2025-12-25 18:30:44.448,2025-12-25 18:30:44.448,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-25 18:30:44.260,b6a2a93f-0529-4bd4-9b5c-7adcfa403591,
63070031,2025-12-29 13:33:25.255,63070031,2025-12-29 13:33:25.391,2025-12-29 13:33:25.391,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-29 13:33:25.255,21f315a6-bdf9-450f-a61a-a6092afcd3b0,
63070031,2026-01-04 15:47:39.850,63070031,2026-01-04 15:47:39.964,2026-01-04 15:47:39.964,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-04 15:47:39.850,25f45510-b73f-4884-9d61-f4ce40d5b212,
63070031,2026-01-04 19:37:51.032,63070031,2026-01-04 19:37:51.225,2026-01-04 19:37:51.225,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-04 19:37:51.032,28be6f07-d555-43ae-b476-622d7d382524,
63070031,2026-01-05 00:18:28.255,63070031,2026-01-05 00:18:28.522,2026-01-05 00:18:28.522,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-05 00:18:28.255,6b167c8e-33c1-4bf2-afc7-daf874faa8e0,
63070031,2026-01-07 17:28:59.104,63070031,2026-01-07 17:28:59.325,2026-01-07 17:28:59.325,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-07 17:28:59.104,8b6fd05f-a89a-4938-848a-df4a032acc81,
63070031,2026-01-07 17:59:04.697,63070031,2026-01-07 17:59:04.909,2026-01-07 17:59:04.909,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-07 17:59:04.697,26efcb3f-3b2d-4c45-b44c-a0387a7bd41b,
63070031,2026-01-06 13:04:30.154,63070031,2026-01-06 13:04:30.346,2026-01-06 13:04:30.346,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-06 13:04:30.154,039a7f06-2b02-47dd-95d1-9c7c8d7f16b6,
63070031,2026-01-07 16:35:47.824,63070031,2026-01-07 16:35:47.971,2026-01-07 16:35:47.971,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-07 16:35:47.824,87cce658-6972-43b2-8b4a-653266fb61db,
63070031,2026-01-07 17:03:53.859,63070031,2026-01-07 17:03:53.997,2026-01-07 17:03:53.997,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-07 17:03:53.859,73470f2c-93c6-4fbf-877d-0ec620d859a7,
63070031,2026-01-09 17:35:11.524,63070031,2026-01-09 17:35:11.692,2026-01-09 17:35:11.692,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-09 17:35:11.524,e9319d4d-3e83-40c4-9aae-3f5740a93fcd,
63070031,2026-01-11 11:36:38.304,63070031,2026-01-11 11:36:38.460,2026-01-11 11:36:38.460,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-11 11:36:38.304,bb1613bb-616d-48ce-8b73-c388c4700ae8,
63070031,2026-01-12 14:45:49.694,63070031,2026-01-12 14:45:49.877,2026-01-12 14:45:49.877,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-12 14:45:49.694,ad72cc51-4a1c-4007-8182-70957000fec3,
63070031,2026-01-12 17:04:10.947,63070031,2026-01-12 17:04:11.113,2026-01-12 17:04:11.113,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-12 17:04:10.947,1b01baec-bfd8-4dba-8f80-afcd64279991,
63070031,2026-01-12 19:17:33.084,63070031,2026-01-12 19:17:33.155,2026-01-12 19:17:33.155,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-12 19:17:33.084,8c0c3a62-5c01-4b9d-b8d8-00ea9b1fa283,
63070031,2026-01-12 18:25:24.808,63070031,2026-01-12 18:25:24.943,2026-01-12 18:25:24.943,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-12 18:25:24.808,8f22bd56-957a-4ca8-8dd0-f41af327979c,
63070031,2026-01-12 18:49:28.201,63070031,2026-01-12 18:49:28.397,2026-01-12 18:49:28.397,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-12 18:49:28.201,1f567e13-a437-4837-9818-01da79dabb85,
63070031,2026-01-12 22:41:12.278,63070031,2026-01-12 22:41:12.313,2026-01-12 22:41:12.313,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-12 22:41:12.278,dfa315f4-6646-427d-8f73-97f78a52f7d4,
63070031,2026-01-13 00:22:31.717,63070031,2026-01-13 00:22:31.843,2026-01-13 00:22:31.843,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-13 00:22:31.717,0b984461-3866-4b28-b8ec-9298be438220,
63070031,2026-01-14 11:51:34.061,63070031,2026-01-14 11:51:34.221,2026-01-14 11:51:34.221,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2026-01-14 11:51:34.061,519ec892-5814-4f62-ab9a-15954d0b26f1,
